Site_name or object code,C14Age,C14SD,Lab_code,Lon,Lat,Location quality,Material_Dated,APA_reference,Ref_complete,Archaeological_context,Technology
5,1920,70,Beta-128516,-74.73,6.99,Reported,,SAG. (1999). Estudio de impacto ambiental Troncal Nordeste fase III,yes,,
7,720,80,Beta-128514,-74.71,7.06,Reported,,SAG. (1999). Estudio de impacto ambiental Troncal Nordeste fase III,yes,,
13,1060,70,Beta-128515,-74.95,6.59,Reported,,SAG. (1999). Estudio de impacto ambiental Troncal Nordeste fase III,yes,,
05MAC-CC2 (Caverna del Tigre),3480,70,Beta-16821,-74.63,6.55,Reported,,"Pino, J. I., & Forero, J. C. (2002). Ocupacion humana y entorno natural en las cavernas del rio Alicante Maceo-Puerto Berrio (Antioquia). CORANTIOQUIA.",yes,,
05YON-BAR6,650,50,Beta-207077,-74.3,6.73,Reported,,"Pino Salazar, J. (2006). Caracterizacion patrimonial del sistema de humedales cienagas El Totumo, Barbacoas y Chiqueros municipio de Yondo y Puerto Berrio Antioquia: informe final. Corporacion Autonoma Regional del Centro de Antioquia.",yes,,
05YON-BAR7,6650,130,Beta-207080,-74.29,6.73,Reported,,"Pino Salazar, J. (2006). Caracterizacion patrimonial del sistema de humedales cienagas El Totumo, Barbacoas y Chiqueros municipio de Yondo y Puerto Berrio Antioquia: informe final. Corporacion Autonoma Regional del Centro de Antioquia.",yes,,
05YON-TO7,930,70,Beta-207078,-74.02,7.13,Reported,,"Pino Salazar, J. (2006). Caracterizacion patrimonial del sistema de humedales cienagas El Totumo, Barbacoas y Chiqueros municipio de Yondo y Puerto Berrio Antioquia: informe final. Corporacion Autonoma Regional del Centro de Antioquia.",yes,,
12 PIII0I-52,10260,50,Beta 205293,,,,Charcoal,"Otero de Santos, H., & Santos, G. (2006). Las ocupaciones prehispanicas del canon del rio Porce: prospeccion , rescate y monitoreo arqueologico. Proyecto hidroelectrico Porce III obras de infraestructura. Informe final. 3 volumenes EPM.",yes,,
21 - La Quinta,1400,60,Beta-142830,-75.67,6.24,Reported,Charcoal,"Langebaek Rueda, C., & Espinosa, I. (1999). Reconocimiento arqueologico en el Cerro del Padre Amaya: informe final.  CORANTIOQUIA.",yes,,
66PER001,9730,100,Beta-121972,-75.694147,5.534098,Reported,Charcoal,"Cano Echeverri, M. (2001). Arqueologia de las cuencas de los rios Otun y Consota, Risaralda. Fundacion de Investigaciones Arqueologicas. Banco de la Republica.",yes,,
66PER007,3350,70,Beta-14528,-75.69,4.79,Reported,,"Cano Echeverri, M. C. (2004). Los primeros habitantes de las cuencas medias de los rios Otun y Consota. En C. E. Lopez & M. C. Cano (Comps.), Cambios ambientales en perspectiva historica: ecoregion del eje cafetero (pp. 68-91).  Universidad Tecnologica de Pereira. https://media.utp.edu.co/centro-gestion-ambiental/archivos/cambios-ambientales-en-perspectiva-historica/cambiosambientales.pdf",yes,,
66PER012,1640,60,Beta-18735,-75.7,4.81,Reported,,"Mora Gonzalez, L. M. (2006). Analisis multitemporal de las evidencias materiales en la catedral Nuestra Senora de la Pobreza Pereira Risaralda.",yes,,
Meseta A,1990,50,36-GrN-7602,-76.24,1.91,Reported,,"Duque Gomez, L., & Cubillos, J. C. (1979). Arqueologia de San Agustin: Alto de los idolos monticulos y tumbas. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Tequendama,10920,250,GrN 6539,-74.216,4.583,Reported,Charcoal,"Correal Urrego, G., & van der Hammen, T. (1977) Investigaciones arqueologicas en los abrigos del Tequendama. Biblioteca Banco de la Republica.",yes,,
Chia I,3120,210,GrN-10266,-74.01,4.88,Reported,,"Ardila Calderon, G. I. (1984). Chi­a: un sitio preceramico en la Sabana de Bogota.  Banco de la Republica Bogota.",yes,,
Chía II,2090,60,GrN-10267,-74.01,4.89,Reported,,"Ardila Calderon, G. I. (1984). Chi­a: un sitio preceramico en la Sabana de Bogota.  Banco de la Republica Bogota.",yes,,
Zipacón I,3270,30,GrN-11125,-74.35,4.78,Reported,,"Correal Urrego, G. & Pinto Nolla, M. (1983). Investigacion arqueologica en el municipio de Zipacon Cundinamarca. Fundacion de Investivaciones Arqueologicas Nacionales. Banco de la Republica. https://publicaciones.banrepcultural.org/index.php/bmo/article/view/7276",yes,,
Marta,2010,50,GrN-11224,-75.59987811,9.48338536,Reported,Charcoal,"Van Zweden, R. (1994). Geomorfologia de un yacimiento arqueologico: el sitio Marta, Golfo de Morrosquillo, Colombia.",yes,,
Abeja (2.86),1010,110,GX-15749,-72.399927,-0.585613,Reported,,"Herrera, L. F., Cavelier de Ferrero, I., Rodriguez, C., & Mora, S. (1989). Suelos antropogenicos alternativa de produccion amazonica.",yes,,
Abeja (2.86),1415,75,GX-15750,-72.399927,-0.585613,Reported,,"Herrera, L. F., Cavelier de Ferrero, I., Rodriguez, C., & Mora, S. (1989). Suelos antropogenicos alternativa de produccion amazonica.",yes,,
Marta,2080,140,GrN-11302,-75.59987811,9.48338536,Reported,Charcoal,"Van Zweden, R. R. (1994). Geomofología de un yacimiento arqueológico: El sitio Marta. golfo de Morrosquillo, Colombia. Boletin de Antropologia, Universidad de Antioquia, 8(24), 25-42.",yes,,
Marta,1740,50,GrN-11303,-75.59987811,9.48338536,Reported,Shell,"Van Zweden, R. (1994). Geomorfologia de un yacimiento arqueologico: el sitio Marta, Golfo de Morrosquillo, Colombia.",yes,,
Abrigo del Arco I,5320,70,GrA-18724,-72.7410162,0.7435316,Reported,Charcoal,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Abrigo del Arco I,5560,70,Col-798,-72.7410162,0.7435316,Reported,Fire pit,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Abrigo del Arco I,5320,70,Col-841,-72.7410162,0.7435316,Reported,Fire pit,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
El Estorbo I,1055,40,GrN-11304,-76.73,8.14,Reported,,"Botiva Contreras, A. (1980). Investigacion arqueologica y prehistorica de un yacimiento conchal en la costa Atlantica colombiana.",yes,,
La Estrella,980,260,GrN-11887,-73.92,11.09,Reported,Charcoal,"Herrera de Turbay, L. F. (1985). Agricultura aborigen y cambios de vegetacion en la Sierra Nevada de Santa Marta. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Paramo de Pena Negra,8320,80,GrN-12068,-73.817151,5.337419,Reported,Charcoal,"Herrera, L., Bray, W., Cardale, M., & Botero, P. (1992). Nuevas fechas de radiocarbono para el preceramico de la cordillera Occidental de Colombia. En O. Ortiz-Troncoso,  &  T. van der Hammen (Eds.), Archaeology and environment in Latin America (pp. 145-163). Instituut voor Pre- en Protohistorische Acheologie Albert Egges van Giffen, Universiteit van Amsterdam.",yes,,
