year_BP,enso_pca
-48,-5.596099
-46,-6.369991
-43,-3.550334
-41,-0.731749
-39,-0.201408
-37,-0.693627
-35,-0.841816
-33,-0.824183
-31,-0.782417
-30,-1.00026
-29,-1.642557
-27.5,-2.175349
-26,-2.123071
-26,-2.108362
-25,-1.694807
-24,-1.329294
-24,-1.659845
-23,-1.955379
-22,-2.045104
-22,-2.029144
-21,-2.360674
-21,-1.937125
-20.5,-1.895311
-20,-2.036752
-19,-1.800182
-19,-1.470918
-18,-1.395974
-18,-1.576546
-18,-1.980565
-17,-1.951586
-16,-1.907065
-16,-1.900178
-15,-1.789236
-14,-1.839252
-13,-1.821368
-12,-1.792596
-11,-1.874294
-10,-1.70885
-9,-1.891556
-9,-1.973137
-8,-2.25374
-7,-2.154134
-6,-2.349255
-5,-2.072393
-4,-1.546312
-3,-1.131545
-2,-1.555416
-1,-1.662721
-1,-1.383572
0,-1.655946
1,-1.385229
1,-1.649008
2,-1.791563
3,-1.682517
4,-1.032644
5,-0.374996
5,-0.901694
6,-1.380744
7,-1.397887
8,-0.622045
9,-0.454335
9,-1.318961
10,-1.364297
11,-1.485737
12,-1.5665
13,-1.915753
13,-1.948003
14,-1.959674
15,-2.362977
15,-2.525076
16,-2.225449
16,-2.205065
17,-2.282049
18,-2.202921
19,-2.302049
20,-1.820553
20,-2.073047
21,-1.793209
22,-1.824396
22,-1.811545
23,-1.925558
24,-2.205214
25,-2.027753
25,-1.575912
26,-1.661369
27,-1.761856
28,-1.708261
28,-1.640192
29,-1.958308
29,-1.925479
30,-2.246828
31,-2.201871
32,-1.585424
32,-1.200153
33,-1.026085
34,-1.551012
35,-1.376636
35,-1.05256
36,-0.96027
37,-0.31763
37,-0.289243
38,-0.526372
39,-1.001056
40,-0.589947
41,-2.038523
42,-2.03437
42,-2.317278
43,-2.526409
44,-2.283167
44,-2.384541
45,-2.475501
46,-2.277893
46.5,-1.898785
47,-0.504308
48,0.326824
49,-0.061023
49,-1.244558
50,-1.104882
50,-0.804566
51,-1.356245
51,-1.780528
52,-1.468871
52,-1.450485
53,-1.157048
53,-1.047094
54,-0.846783
54.5,-1.02478
55,-1.697034
56,-1.165
57,0.677258
57,1.596306
58,1.321601
58,0.241832
58,-1.25296
59,-1.494799
59,-1.398885
59,-1.124655
60,-0.98717
60,-2.012138
60,-1.597045
61,-1.468999
61,-0.284361
61,0.023694
62,0.680062
62,1.386012
62,1.119703
63,0.837293
63,0.323767
63,-0.617158
63,-1.315426
64,-1.722657
64,-2.741915
64.5,-2.031331
65,-1.384374
65,-0.855357
66,0.869057
66,1.188129
67,1.041482
68.5,-0.138948
70,-1.67898
71,-2.897339
73,-2.6277
74,-2.07437
75,-1.421891
76,-0.939956
77,-0.838462
79,-0.950005
80,-1.396251
82,-1.79007
83,-2.765009
85,-2.169144
85,-0.522641
86,0.502878
87,0.759757
88,0.265985
88,-1.68678
89,-3.097594
90,-1.251396
91,-2.494938
91,-2.594965
92,-2.846359
93,-2.704313
93,-2.021091
94,0.145291
95,1.204296
95,0.790029
96,0.430816
97,0.089361
97,-2.068351
98,-2.340306
99,-2.260664
100,-2.299879
101.5,-2.441032
103,-1.778984
105,0.462752
106,1.12073
108,0.832514
109,1.293694
112,1.513281
114,1.143149
117,0.913005
119,0.608859
122,-0.911446
124,-2.480359
126,-2.891737
128.5,-2.574414
130,-1.430708
133,-0.422274
135,-0.628334
136.5,-1.065424
138,-0.861625
140,-0.369616
142,-0.128507
143,0.397385
145,1.074836
146,0.370711
148,0.320351
149,0.48375
151,-1.733195
152,-1.858085
154,-0.087237
155,-0.235252
157,0.167852
159,1.094646
161,1.079007
162.5,0.774427
164,-1.427373
167,-1.470672
168,0.425864
169,2.229028
170,2.9445
171.5,2.752376
173,2.407758
174,2.454536
175,1.069149
176,-1.434834
177,-4.030304
178,-4.196851
179,-3.840863
179,-2.458454
181,0.291108
181,1.153919
182,0.312693
183,-1.134374
184,-0.244859
185,0.335596
186,-0.278306
186.5,-3.081411
187,-3.21499
188,-2.464546
190,-2.424512
191,-2.111525
191,-1.950362
192,-1.143783
193,-1.347904
194,-1.590444
195,-0.908502
196,-0.405433
197,-0.197716
198,0.622918
199,1.603261
200,1.846643
201,1.866093
201,2.173794
202,2.122324
203,2.205452
204,2.624712
205,2.416839
207,2.625936
207.5,2.653305
208,2.667963
209,2.726278
210,2.524882
211,2.468475
211.5,2.564962
213,2.434079
213.5,2.397421
214.5,2.519495
216,2.22326
217,2.249613
217.5,2.483755
218,2.907121
220,3.28982
220,2.965464
221,2.809173
222,2.559287
223,2.353625
224,1.464444
225,-1.106067
225,-2.241709
226,-2.574223
227,-1.593705
228,-2.291535
228,-1.265867
229,0.176196
230.5,-1.033134
232,-2.721707
233,-3.945727
234,-3.733403
235,-3.263193
236,-3.350616
237,-2.62972
238,-1.8812
239,-0.632917
239,-0.47976
240,-1.292008
241,-1.298621
242,0.07106
243,0.733209
244,0.162576
245,0.464096
245.5,-0.112647
246,-1.851223
248,-1.113548
248.5,-0.287732
249,-1.748077
250,-0.644735
251,-0.41083
252,-0.559029
253,-1.092345
254.5,-0.53974
255,0.089788
256,1.038736
257,1.498504
258,2.309554
260,2.914112
261,2.781785
262,2.678486
263,1.974067
263,-0.357463
264,-1.954549
265,-2.36882
265,-1.870702
266,-1.112096
267,-0.243014
268,1.205727
